spotify_id,daily_rank,daily_movement,weekly_movement,country,popularity,is_explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0jhU9qQxWCMTNriBRauELk,12,-2,38,HN,61,FALSE,241855,0.732,0.84,4,-4.007,0,0.203,0.219,0,0.186,0.534,104.021,4
2yzshFeBIwH8tWIqHEFLeD,13,0,-1,HN,86,FALSE,194563,0.571,0.72,9,-4.089,1,0.0458,0.213,0,0.271,0.542,83.827,4
7mXuWTczZNxG5EDcjFEuJR,14,-3,-3,HN,93,TRUE,212878,0.646,0.736,5,-7.118,0,0.0449,0.216,0,0.415,0.873,140.098,3
7ABLbnD53cQK00mhcaOUVG,15,-1,-5,HN,94,TRUE,197920,0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,4
5XVdHRf4CAJ2Jm0uMIy5qY,16,0,9,HN,90,TRUE,156345,0.778,0.835,11,-3.598,0,0.0767,0.152,0,0.109,0.666,140.082,4
6XbtvPmIpyCbjuT0e8cQtp,17,0,-4,HN,93,FALSE,186000,0.668,0.712,5,-5.927,1,0.0381,0.369,2.13E-05,0.108,0.264,100.02,4
1hZsWUnLbqRw09jLAMQSsb,18,2,-1,HN,79,TRUE,195586,0.858,0.665,11,-4.772,1,0.152,0.126,0,0.119,0.659,100.09,4
3nNmRE0DxHC6ZaKkrpUumS,19,0,-4,HN,89,TRUE,216327,0.847,0.724,1,-5.41,1,0.298,0.0869,1.11E-06,0.118,0.396,94.601,4
2CeKVsFFXG4QzA415QygGb,20,2,-6,HN,87,FALSE,155960,0.865,0.573,5,-5.501,1,0.0678,0.0863,0,0.305,0.563,94.999,4
5HR7yfhSCeoOHRQN05XnZQ,21,-3,-3,HN,83,FALSE,169418,0.497,0.644,10,-4.309,1,0.0443,0.188,0,0.114,0.779,162.542,4
505v13epFXodT9fVAJ6h8k,22,2,-3,HN,90,TRUE,170480,0.92,0.696,6,-3.356,0,0.0742,0.183,0,0.149,0.545,106.966,4
0WKd91LoIHCFIhDmgewjhy,23,-2,3,HN,62,FALSE,188826,0.73,0.706,9,-5.274,0,0.0802,0.518,0,0.361,0.935,83.962,4
32hCeeK3ayPux4UauNPsgA,24,-1,-3,HN,83,FALSE,224285,0.777,0.65,11,-4.156,0,0.213,0.128,0,0.116,0.401,93.051,4
7yIIeKUxTpn36X6CFJhgEi,25,1,-3,HN,90,TRUE,159170,0.795,0.678,11,-7.905,0,0.0586,0.0398,0.35,0.072,0.788,101.032,4
5YJ4BVvTFmVCxUyhKejHfR,26,-1,-3,HN,83,TRUE,151666,0.815,0.856,1,-3.825,0,0.122,0.4,8.34E-05,0.244,0.872,91.995,4
2kz1YOhJiNubjigR1gB1VX,27,4,0,HN,90,TRUE,197052,0.845,0.795,9,-3.502,0,0.0681,0.343,1.78E-05,0.224,0.681,94.969,4
7bPp2NmpmyhLJ7zWazAXMu,28,-1,7,HN,88,TRUE,209415,0.557,0.866,6,-4.454,1,0.0503,0.394,0,0.11,0.631,167.767,4
54zcJnb3tp9c5OVKREZ1Is,29,0,-1,HN,88,FALSE,154374,0.634,0.725,5,-4.945,0,0.0587,0.0776,0,0.211,0.795,159.845,4
3kx21xR6IboC9HVdajgBoc,30,-2,4,HN,82,TRUE,156500,0.778,0.864,7,-4.61,0,0.0907,0.0898,0,0.0901,0.961,130.17,3
2UW7JaomAMuX9pZrjVpHAU,31,1,2,HN,90,TRUE,234352,0.812,0.479,2,-5.678,0,0.333,0.213,1.21E-06,0.0756,0.559,169.922,4
3qQbCzHBycnDpGskqOWY0E,32,-2,0,HN,86,FALSE,165671,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89E-05,0.0837,0.834,147.989,3
